"task","desc","mode","p50","mean","min","p90","transChars","transBytes","llmChars","llmBytes","llmTok"
"T1","read whole file (63KB/1756L)","mcp-compact1","1","1.31","0.81","1.31","133273","133421","132618","132618","33154"
"T2","read line range 500..699","mcp-compact1","0.92","0.95","0.85","1.05","18700","18848","18043","18043","4511"
"T3","recursive dir listing (src)","mcp-compact1","0.24","0.26","0.22","0.31","1955","2103","1302","1302","326"
"T4","regex content search (pub fn)","mcp-compact1","13.59","13.81","11.75","15.08","60960","64808","60298","63998","16000"
"T5","file metadata batch (16 files)","mcp-compact1","0.75","0.75","0.71","0.77","9988","10136","9330","9330","2332"
"T6","git status","mcp-compact1","46.75","46.66","44.22","48.43","1819","1967","1161","1161","290"
"T1","read whole file (63KB/1756L)","mcp-compact0","1.34","1.35","1.17","1.56","265474","265622","264819","264819","66205"
"T2","read line range 500..699","mcp-compact0","0.99","1.02","0.9","1.08","32706","32854","32049","32049","8012"
"T3","recursive dir listing (src)","mcp-compact0","0.23","0.25","0.22","0.31","2821","2969","2168","2168","542"
"T4","regex content search (pub fn)","mcp-compact0","14.12","14.63","13.32","15.62","120532","128080","119870","127270","31818"
"T5","file metadata batch (16 files)","mcp-compact0","0.78","0.81","0.74","0.94","14979","15127","14321","14321","3580"
"T6","git status","mcp-compact0","46.38","46.71","42.84","49.77","2130","2278","1472","1472","368"
"T1","read whole file (63KB/1756L)","native","0.6","1.63","0.49","2.43","63031","63031","63031","63031","15758"
"T2","read line range 500..699","native","4.42","4.47","3.74","5.07","5780","5780","5780","5780","1445"
"T3","recursive dir listing (src)","native","3.04","3.19","2.95","3.7","296","296","296","296","74"
"T4","regex content search (pub fn)","native","15.75","15.96","14.84","17.27","27933","29783","27933","29783","7446"
"T5","file metadata batch (16 files)","native","4.52","4.78","4.29","5.69","2076","2140","2076","2140","535"
"T6","git status","native","26.58","26.65","25.09","27.97","820","820","820","820","205"
